station id, station name, valid,povp. T [°C],količina padavin [mm]
_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:30,18.3,1.2

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:40,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:50,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:00,18.5,0.9

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:10,18.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:20,18.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:30,18.5,0.7

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:40,18.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 02:50,18.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:00,18.5,0.5

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:10,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:20,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:30,18.2,1.1

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:40,18.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 03:50,18.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:00,18.2,0.3

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:10,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:20,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:30,18.1,0.1

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:40,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 04:50,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:00,18.1,0.1

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:10,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:20,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:30,18.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:40,18,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 05:50,17.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:00,18,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:10,18,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:20,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:30,18.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:40,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 06:50,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:00,18.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:10,18.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:20,18.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:30,19,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:40,19.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 07:50,19.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:00,19.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:10,19.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:20,19.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:30,19.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:40,19.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 08:50,19.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:00,19.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:10,19.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:20,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:30,19.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:40,20.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 09:50,20.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:00,21.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:10,21.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:20,22.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:30,23,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:40,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 10:50,22.7,

