station id, station name, valid,povp. T [°C],količina padavin [mm]

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:00,24.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:10,24.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:20,24.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:30,24,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:40,23.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 19:50,23.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:00,23.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:10,22.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:20,22.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:30,22.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:40,22.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 20:50,21.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:00,21.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:10,21.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:20,21.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:30,21,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:40,21.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 21:50,20.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:00,20.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:10,20.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:20,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:30,19.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:40,19.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 22:50,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:00,19.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:10,19.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:20,19,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:30,18.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:40,18.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-10 23:50,17.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:00,17.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:10,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:20,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:30,18.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:40,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 00:50,18,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:00,17.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:10,17.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:20,17.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:30,17,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:40,16.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 01:50,16.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:00,16.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:10,16,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:20,15.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:30,15.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:40,15.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 02:50,15.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:00,15.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:10,15.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:20,15.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:30,15.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:40,14.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 03:50,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:00,14.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:10,14.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:20,14.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:30,14.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:40,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 04:50,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:00,14.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:10,14.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:20,14.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:30,14.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:40,14.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 05:50,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:00,14.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:10,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:20,14.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:30,14.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:40,14.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 06:50,15.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:00,16,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:10,16.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:20,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:30,17.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:40,17.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 07:50,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:00,19.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:10,19.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:20,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:30,20.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:40,21,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 08:50,21.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:00,22.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:10,22.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:20,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:30,23.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:40,24.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 09:50,24.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:00,24.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:10,25.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:20,25.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:30,26,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:40,26.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 10:50,26.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:00,26.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:10,26.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:20,27.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:30,26.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:40,26,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 11:50,26.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:00,27.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:10,27.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:20,27.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:30,27.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:40,27.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 12:50,27.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:00,27.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:10,28.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:20,28.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:30,28.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:40,28.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 13:50,28.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:00,28.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:10,28.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:20,29,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:30,28.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:40,28,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 14:50,28.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:00,28.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:10,29.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:20,28.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:30,28.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:40,28.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 15:50,28.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:00,29.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:10,29.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:20,28.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:30,27.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:40,27.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 16:50,28.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:00,28.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:10,28.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:20,28.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:30,28.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:40,28.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 17:50,27.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:00,27.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:10,27.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:20,27.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:30,27.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:40,26.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 18:50,26.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:00,26.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:10,26,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:20,25.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:30,25.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:40,25.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 19:50,25,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:00,24.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:10,24.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:20,24.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:30,24.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:40,24,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 20:50,23.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:00,23.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:10,23.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:20,23.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:30,23.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:40,23.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 21:50,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:00,23.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:10,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:20,22.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:30,22.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:40,22.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 22:50,22.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:00,22.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:10,22.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:20,22.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:30,22.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:40,22.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-11 23:50,22,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:00,22,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:10,22,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:20,22.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:30,22.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:40,22.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 00:50,22,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:00,21.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:10,21.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:20,21.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:30,21.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:40,21.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 01:50,21.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:00,20.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:10,20.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:20,20.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:30,20.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:40,20.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 02:50,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:00,20.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:10,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:20,20,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:30,20,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:40,20.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 03:50,20.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:00,20.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:10,20.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:20,19.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:30,19.5,0.1

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:40,18.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 04:50,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:00,17.3,0.4

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:10,17.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:20,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:30,17,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:40,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 05:50,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:00,17.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:10,16.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:20,16.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:30,17,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:40,17.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 06:50,17.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:00,17.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:10,17.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:20,17.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:30,17.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:40,17.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 07:50,18.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:00,18.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:10,19.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:20,19.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:30,20.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:40,20.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 08:50,21.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:00,21.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:10,22.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:20,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:30,22.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:40,22.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 09:50,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:00,22.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:10,22.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:20,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:30,23.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:40,23.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 10:50,23.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:00,23.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:10,23.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:20,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:30,22.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:40,22.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 11:50,22.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:00,23,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:10,23,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:20,22.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:30,22.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:40,22.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 12:50,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:00,22.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:10,23,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:20,23.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:30,23.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:40,23.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 13:50,23.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:00,23.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:10,23.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:20,23.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:30,23.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:40,23.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 14:50,24.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:00,24.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:10,25.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:20,25.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:30,25.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:40,25.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 15:50,25.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:00,25.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:10,25.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:20,25.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:30,24.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:40,23.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 16:50,22.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:00,22.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:10,22,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:20,21.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:30,21.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:40,20.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 17:50,20.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:00,21,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:10,21,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:20,20.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:30,20.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:40,20.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 18:50,20.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:00,20.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:10,20,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:20,19.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:30,19.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:40,19.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 19:50,18.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:00,18.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:10,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:20,18.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:30,18.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:40,18.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 20:50,18.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:00,18.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:10,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:20,18.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:30,18,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:40,17.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 21:50,17.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:00,17.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:10,17.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:20,17.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:30,17.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:40,17.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 22:50,17.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:00,17.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:10,17,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:20,16.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:30,16.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:40,16.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-12 23:50,16.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:00,16,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:10,15.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:20,15.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:30,15.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:40,15.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 00:50,15.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:00,15.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:10,15.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:20,15.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:30,15.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:40,15,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 01:50,15.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:00,15,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:10,15,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:20,15,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:30,15,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:40,15.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 02:50,15.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:00,15.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:10,14.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:20,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:30,14.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:40,14.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 03:50,14.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:00,14.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:10,14.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:20,14.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:30,14.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:40,14.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-13 04:50,14.3,

